Driver Name,Club #,Ranking,Series Position,Series Points,R1 Points,R2 Points,R3 Points,R4 Points,R5 Points,R6 Points,R7 Points,R8 Points,R9 Points,R10 Points
Mad Dog Scowen,39,1,1,745,0,0,150,150,150,145,0,0,0,150
Phil Stephenson,T28,2,2,149,0,0,0,0,0,0,0,149,0,0
Robert Stephenson,T27,3,3,149,0,0,0,0,0,0,0,149,0,0
